S.No.,Date,Temperature (Celsius),Temperature (Kelvin),Temperature (Fahrenheit),Precipitation (mm),Wind Speed (km/h)
1,01-01-10,-4,269.15,24.8,8.68437098,18
2,02-01-10,-8,265.15,17.6,8.750700753,12
3,03-01-10,14,287.15,57.2,5.885283574,1
4,04-01-10,10,283.15,50,8.767013388,41
5,05-01-10,27,300.15,80.6,8.662591515,44
6,06-01-10,3,276.15,37.4,3.647187804,8
7,07-01-10,13,286.15,55.4,6.515871905,7
8,08-01-10,18,291.15,64.4,4.506299937,47
9,09-01-10,21,294.15,69.8,8.948822157,12
10,10-01-10,-8,265.15,17.6,6.386148838,0
11,11-01-10,15,288.15,59,2.815827038,27
12,12-01-10,6,279.15,42.8,5.469744917,20
13,13-01-10,16,289.15,60.8,8.144044961,42
14,14-01-10,-6,267.15,21.2,1.953644762,30
15,15-01-10,22,295.15,71.6,6.095991944,3
16,16-01-10,-2,271.15,28.4,8.774101368,31
17,17-01-10,14,287.15,57.2,1.455034115,1
18,18-01-10,21,294.15,69.8,3.094869646,5
19,19-01-10,17,290.15,62.6,5.015423294,25
20,20-01-10,12,285.15,53.6,2.638907469,32
21,21-01-10,5,278.15,41,2.118855259,42
22,22-01-10,6,279.15,42.8,0.16199273,22
23,23-01-10,2,275.15,35.6,8.209768954,21
24,24-01-10,9,282.15,48.2,5.218352318,9
25,25-01-10,6,279.15,42.8,3.442771852,45
26,26-01-10,28,301.15,82.4,1.207402055,16
27,27-01-10,14,287.15,57.2,4.624686081,35
28,28-01-10,3,276.15,37.4,2.45335225,20
29,29-01-10,28,301.15,82.4,5.937333488,4
30,30-01-10,19,292.15,66.2,1.320035145,44
31,31-01-10,-9,264.15,15.8,4.91299065,25
32,01-02-10,-1,272.15,30.2,3.466334037,23
33,02-02-10,22,295.15,71.6,2.75339202,24
34,03-02-10,16,289.15,60.8,8.536381296,31
35,04-02-10,7,280.15,44.6,7.986116841,27
36,05-02-10,9,282.15,48.2,6.636138575,46
37,06-02-10,12,285.15,53.6,0.141305725,1
38,07-02-10,25,298.15,77,2.378236804,32
39,08-02-10,5,278.15,41,5.603403219,25
40,09-02-10,17,290.15,62.6,6.737415242,25
41,10-02-10,8,281.15,46.4,9.609539672,28
42,11-02-10,28,301.15,82.4,9.88225686,43
